German,english
Guten Morgen., Good Morning.
Guten Abend., Good evening.
Gute Nacht., Good night.
Bis dann., See you later.
Bis gleich., See you soon.
Bis morgen., See you tomorrow.
Auf Wiedersehen., Good-bye.
Schönen Tag noch!, Have a nice day!
Prima., Great.
Es geht., So-so.
(Nicht) schlecht., (Not) bad.
Mir geht's gut., I'm not (so) well.
Gern geschehen., My pleasure.
Entschuldigung., Excuse me.
Entschuldigen Sie., Excuse me. (form.)
Es tut mir leid., I'm sorry.
ja, yes
nein, no
Wie heißen Sie?, What is your name? (form.)
